ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),782,all_persons,2019-01-01,2019-01-31,Q12b,without_children,474
Non-Hispanic/Non-Latin(a)(o)(x),782,all_persons,2019-01-01,2019-01-31,Q12b,with_children_and_adults,295
Non-Hispanic/Non-Latin(a)(o)(x),782,all_persons,2019-01-01,2019-01-31,Q12b,with_only_children,13
Non-Hispanic/Non-Latin(a)(o)(x),782,all_persons,2019-01-01,2019-01-31,Q12b,unknown_household_type,0
Hispanic/Latin(a)(o)(x),90,all_persons,2019-01-01,2019-01-31,Q12b,without_children,39
Hispanic/Latin(a)(o)(x),90,all_persons,2019-01-01,2019-01-31,Q12b,with_children_and_adults,51
Hispanic/Latin(a)(o)(x),90,all_persons,2019-01-01,2019-01-31,Q12b,with_only_children,0
Hispanic/Latin(a)(o)(x),90,all_persons,2019-01-01,2019-01-31,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2019-01-01,2019-01-31,Q12b,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-01-01,2019-01-31,Q12b,with_children_and_adults,1
Client Doesn't Know/Client Refused,1,all_persons,2019-01-01,2019-01-31,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-01-01,2019-01-31,Q12b,unknown_household_type,0
Data Not Collected,1,all_persons,2019-01-01,2019-01-31,Q12b,without_children,0
Data Not Collected,1,all_persons,2019-01-01,2019-01-31,Q12b,with_children_and_adults,0
Data Not Collected,1,all_persons,2019-01-01,2019-01-31,Q12b,with_only_children,0
Data Not Collected,1,all_persons,2019-01-01,2019-01-31,Q12b,unknown_household_type,1
