non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_start,238
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,25
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_exit_for_leavers,84
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_start,17
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_exit_for_leavers,7
TANF Child Care Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_start,5
TANF Child Care Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_exit_for_leavers,2
TANF Transportation Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_start,0
TANF Transportation Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_start,4
Other TANF-Funded Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_exit_for_leavers,3
Other Source,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_start,7
Other Source,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_latest_annual_assessment_for_stayers,10
Other Source,all_persons,2019-01-01,2019-01-31,Q20a,benefit_at_exit_for_leavers,0
