count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,302,76,143,all_persons,2019-01-01,2019-01-31,Q13c2,without_children,71
None,302,76,143,all_persons,2019-01-01,2019-01-31,Q13c2,with_only_children,12
None,302,76,143,all_persons,2019-01-01,2019-01-31,Q13c2,unknown_household_type,0
1 Condition,160,26,8,all_persons,2019-01-01,2019-01-31,Q13c2,without_children,126
1 Condition,160,26,8,all_persons,2019-01-01,2019-01-31,Q13c2,with_only_children,0
1 Condition,160,26,8,all_persons,2019-01-01,2019-01-31,Q13c2,unknown_household_type,0
2 Conditions,71,4,4,all_persons,2019-01-01,2019-01-31,Q13c2,without_children,63
2 Conditions,71,4,4,all_persons,2019-01-01,2019-01-31,Q13c2,with_only_children,0
2 Conditions,71,4,4,all_persons,2019-01-01,2019-01-31,Q13c2,unknown_household_type,0
3+ Conditions,54,1,1,all_persons,2019-01-01,2019-01-31,Q13c2,without_children,52
3+ Conditions,54,1,1,all_persons,2019-01-01,2019-01-31,Q13c2,with_only_children,0
3+ Conditions,54,1,1,all_persons,2019-01-01,2019-01-31,Q13c2,unknown_household_type,0
Condition Unknown,9,0,2,all_persons,2019-01-01,2019-01-31,Q13c2,without_children,7
Condition Unknown,9,0,2,all_persons,2019-01-01,2019-01-31,Q13c2,with_only_children,0
Condition Unknown,9,0,2,all_persons,2019-01-01,2019-01-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,1,0,0,all_persons,2019-01-01,2019-01-31,Q13c2,without_children,1
Client Doesn't Know/Client Refused,1,0,0,all_persons,2019-01-01,2019-01-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,1,0,0,all_persons,2019-01-01,2019-01-31,Q13c2,unknown_household_type,0
Data Not Collected,14,1,7,all_persons,2019-01-01,2019-01-31,Q13c2,without_children,4
Data Not Collected,14,1,7,all_persons,2019-01-01,2019-01-31,Q13c2,with_only_children,1
Data Not Collected,14,1,7,all_persons,2019-01-01,2019-01-31,Q13c2,unknown_household_type,1
