income_range,population,start_date,end_date,question,status,count
No Income,adults,2019-01-01,2019-01-31,Q16,income_at_start,218
No Income,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,8
No Income,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,64
$1 -  $150,adults,2019-01-01,2019-01-31,Q16,income_at_start,5
$1 -  $150,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$1 -  $150,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,3
$151 - $250,adults,2019-01-01,2019-01-31,Q16,income_at_start,10
$151 - $250,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,0
$151 - $250,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,1
$251 - $500,adults,2019-01-01,2019-01-31,Q16,income_at_start,23
$251 - $500,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,1
$251 - $500,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,8
$501 - $1000,adults,2019-01-01,2019-01-31,Q16,income_at_start,123
$501 - $1000,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,16
$501 - $1000,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,44
$1001 - $1500,adults,2019-01-01,2019-01-31,Q16,income_at_start,77
$1001 - $1500,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,13
$1001 - $1500,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,24
$1501 - $2000,adults,2019-01-01,2019-01-31,Q16,income_at_start,65
$1501 - $2000,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,7
$1501 - $2000,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,20
$2001+,adults,2019-01-01,2019-01-31,Q16,income_at_start,57
$2001+,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,5
$2001+,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,37
Client Doesn't Know/Client Refused,adults,2019-01-01,2019-01-31,Q16,income_at_start,2
Client Doesn't Know/Client Refused,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,1
Data Not Collected,adults,2019-01-01,2019-01-31,Q16,income_at_start,69
Data Not Collected,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,2
Data Not Collected,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,15
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-01-01,2019-01-31,Q16,income_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,317
Number of Adult Stayers not yet Required to Have an Annual Assessment,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,0
Number of Adult Stayers without Required Annual Assessment,adults,2019-01-01,2019-01-31,Q16,income_at_start,0
Number of Adult Stayers without Required Annual Assessment,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,63
Number of Adult Stayers without Required Annual Assessment,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,0
Total Adults,adults,2019-01-01,2019-01-31,Q16,income_at_start,649
Total Adults,adults,2019-01-01,2019-01-31,Q16,income_at_latest_annual_assessment_for_stayers,432
Total Adults,adults,2019-01-01,2019-01-31,Q16,income_at_exit_for_leavers,217
