count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,176,18,43,all_persons,2019-01-01,2019-01-31,Q13b2,without_children,115
None,176,18,43,all_persons,2019-01-01,2019-01-31,Q13b2,with_only_children,0
None,176,18,43,all_persons,2019-01-01,2019-01-31,Q13b2,unknown_household_type,0
1 Condition,57,8,3,all_persons,2019-01-01,2019-01-31,Q13b2,without_children,46
1 Condition,57,8,3,all_persons,2019-01-01,2019-01-31,Q13b2,with_only_children,0
1 Condition,57,8,3,all_persons,2019-01-01,2019-01-31,Q13b2,unknown_household_type,0
2 Conditions,14,1,0,all_persons,2019-01-01,2019-01-31,Q13b2,without_children,13
2 Conditions,14,1,0,all_persons,2019-01-01,2019-01-31,Q13b2,with_only_children,0
2 Conditions,14,1,0,all_persons,2019-01-01,2019-01-31,Q13b2,unknown_household_type,0
3+ Conditions,3,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,without_children,3
3+ Conditions,3,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,with_only_children,0
3+ Conditions,3,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,unknown_household_type,0
Condition Unknown,9,1,0,all_persons,2019-01-01,2019-01-31,Q13b2,without_children,8
Condition Unknown,9,1,0,all_persons,2019-01-01,2019-01-31,Q13b2,with_only_children,0
Condition Unknown,9,1,0,all_persons,2019-01-01,2019-01-31,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,3,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,without_children,3
Client Doesn't Know/Client Refused,3,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,3,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,unknown_household_type,0
Data Not Collected,1,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,without_children,1
Data Not Collected,1,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,with_only_children,0
Data Not Collected,1,0,0,all_persons,2019-01-01,2019-01-31,Q13b2,unknown_household_type,0
