race,total,population,start_date,end_date,question,household_type,count
White,448,all_persons,2015-11-01,2015-11-30,Q12a,without_children,228
White,448,all_persons,2015-11-01,2015-11-30,Q12a,with_children_and_adults,219
White,448,all_persons,2015-11-01,2015-11-30,Q12a,with_only_children,0
White,448,all_persons,2015-11-01,2015-11-30,Q12a,unknown_household_type,1
"Black, African American, or African",121,all_persons,2015-11-01,2015-11-30,Q12a,without_children,68
"Black, African American, or African",121,all_persons,2015-11-01,2015-11-30,Q12a,with_children_and_adults,50
"Black, African American, or African",121,all_persons,2015-11-01,2015-11-30,Q12a,with_only_children,3
"Black, African American, or African",121,all_persons,2015-11-01,2015-11-30,Q12a,unknown_household_type,0
Asian or Asian American,1,all_persons,2015-11-01,2015-11-30,Q12a,without_children,1
Asian or Asian American,1,all_persons,2015-11-01,2015-11-30,Q12a,with_children_and_adults,0
Asian or Asian American,1,all_persons,2015-11-01,2015-11-30,Q12a,with_only_children,0
Asian or Asian American,1,all_persons,2015-11-01,2015-11-30,Q12a,unknown_household_type,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-11-01,2015-11-30,Q12a,without_children,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-11-01,2015-11-30,Q12a,with_children_and_adults,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-11-01,2015-11-30,Q12a,with_only_children,0
"American Indian, Alaska Native, or Indigenous",0,all_persons,2015-11-01,2015-11-30,Q12a,unknown_household_type,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-11-01,2015-11-30,Q12a,without_children,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-11-01,2015-11-30,Q12a,with_children_and_adults,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-11-01,2015-11-30,Q12a,with_only_children,0
Native Hawaiian or Pacific Islander,0,all_persons,2015-11-01,2015-11-30,Q12a,unknown_household_type,0
Multiple Races,55,all_persons,2015-11-01,2015-11-30,Q12a,without_children,16
Multiple Races,55,all_persons,2015-11-01,2015-11-30,Q12a,with_children_and_adults,39
Multiple Races,55,all_persons,2015-11-01,2015-11-30,Q12a,with_only_children,0
Multiple Races,55,all_persons,2015-11-01,2015-11-30,Q12a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-11-01,2015-11-30,Q12a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-11-01,2015-11-30,Q12a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-11-01,2015-11-30,Q12a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-11-01,2015-11-30,Q12a,unknown_household_type,0
Data Not Collected,3,all_persons,2015-11-01,2015-11-30,Q12a,without_children,2
Data Not Collected,3,all_persons,2015-11-01,2015-11-30,Q12a,with_children_and_adults,0
Data Not Collected,3,all_persons,2015-11-01,2015-11-30,Q12a,with_only_children,0
Data Not Collected,3,all_persons,2015-11-01,2015-11-30,Q12a,unknown_household_type,1
