veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,4,all_households,2015-11-01,2015-11-30,Q25b,without_children,4
Chronically Homeless Veteran,4,all_households,2015-11-01,2015-11-30,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,4,all_households,2015-11-01,2015-11-30,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,11,all_households,2015-11-01,2015-11-30,Q25b,without_children,8
Non-Chronically Homeless Veteran,11,all_households,2015-11-01,2015-11-30,Q25b,with_children_and_adults,3
Non-Chronically Homeless Veteran,11,all_households,2015-11-01,2015-11-30,Q25b,unknown_household_type,0
Not a Veteran,341,all_households,2015-11-01,2015-11-30,Q25b,without_children,262
Not a Veteran,341,all_households,2015-11-01,2015-11-30,Q25b,with_children_and_adults,79
Not a Veteran,341,all_households,2015-11-01,2015-11-30,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_households,2015-11-01,2015-11-30,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2015-11-01,2015-11-30,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2015-11-01,2015-11-30,Q25b,unknown_household_type,0
Data Not Collected,6,all_households,2015-11-01,2015-11-30,Q25b,without_children,6
Data Not Collected,6,all_households,2015-11-01,2015-11-30,Q25b,with_children_and_adults,0
Data Not Collected,6,all_households,2015-11-01,2015-11-30,Q25b,unknown_household_type,0
