report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,629,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adults (age 18 or over),453,all_persons,2015-11-01,2015-11-30,Q5a
Number of Children (under age 18),175,all_persons,2015-11-01,2015-11-30,Q5a
Number of Persons with Unknown Age,1,all_persons,2015-11-01,2015-11-30,Q5a
Number of Leavers,137,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adult Leavers,92,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adult and Head of Household Leavers,92,all_persons,2015-11-01,2015-11-30,Q5a
Number of Stayers,492,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adult Stayers,361,all_persons,2015-11-01,2015-11-30,Q5a
Number of Veterans,16,all_persons,2015-11-01,2015-11-30,Q5a
Number of Chronically Homeless Persons,39,all_persons,2015-11-01,2015-11-30,Q5a
Number of Youth Under Age 25,28,all_persons,2015-11-01,2015-11-30,Q5a
Number of Parenting Youth Under Age 25 with Children,14,all_persons,2015-11-01,2015-11-30,Q5a
Number of Adult Heads of Household,368,all_persons,2015-11-01,2015-11-30,Q5a
Number of Child and Unknown-Age Heads of Household,2,all_persons,2015-11-01,2015-11-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,99,all_persons,2015-11-01,2015-11-30,Q5a
