non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_start,16
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,4
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_exit_for_leavers,5
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_start,1
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_start,2
Other Source,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_latest_annual_assessment_for_stayers,5
Other Source,chronically_homeless,2015-11-01,2015-11-30,Q26h,benefit_at_exit_for_leavers,0
