conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,130,20,5,start,2015-11-01,2015-11-30,Q13a1,without_children,105
Mental Health Disorder,130,20,5,start,2015-11-01,2015-11-30,Q13a1,with_only_children,0
Mental Health Disorder,130,20,5,start,2015-11-01,2015-11-30,Q13a1,unknown_household_type,0
Alcohol Use Disorder,23,1,0,start,2015-11-01,2015-11-30,Q13a1,without_children,22
Alcohol Use Disorder,23,1,0,start,2015-11-01,2015-11-30,Q13a1,with_only_children,0
Alcohol Use Disorder,23,1,0,start,2015-11-01,2015-11-30,Q13a1,unknown_household_type,0
Drug Use Disorder,8,3,0,start,2015-11-01,2015-11-30,Q13a1,without_children,5
Drug Use Disorder,8,3,0,start,2015-11-01,2015-11-30,Q13a1,with_only_children,0
Drug Use Disorder,8,3,0,start,2015-11-01,2015-11-30,Q13a1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,24,2,0,start,2015-11-01,2015-11-30,Q13a1,without_children,22
Both Alcohol and Drug Use Disorders,24,2,0,start,2015-11-01,2015-11-30,Q13a1,with_only_children,0
Both Alcohol and Drug Use Disorders,24,2,0,start,2015-11-01,2015-11-30,Q13a1,unknown_household_type,0
Chronic Health Condition,63,9,6,start,2015-11-01,2015-11-30,Q13a1,without_children,48
Chronic Health Condition,63,9,6,start,2015-11-01,2015-11-30,Q13a1,with_only_children,0
Chronic Health Condition,63,9,6,start,2015-11-01,2015-11-30,Q13a1,unknown_household_type,0
HIV/AIDS,86,2,0,start,2015-11-01,2015-11-30,Q13a1,without_children,84
HIV/AIDS,86,2,0,start,2015-11-01,2015-11-30,Q13a1,with_only_children,0
HIV/AIDS,86,2,0,start,2015-11-01,2015-11-30,Q13a1,unknown_household_type,0
Development Disability,24,7,8,start,2015-11-01,2015-11-30,Q13a1,without_children,9
Development Disability,24,7,8,start,2015-11-01,2015-11-30,Q13a1,with_only_children,0
Development Disability,24,7,8,start,2015-11-01,2015-11-30,Q13a1,unknown_household_type,0
Physical Disability,71,9,4,start,2015-11-01,2015-11-30,Q13a1,without_children,58
Physical Disability,71,9,4,start,2015-11-01,2015-11-30,Q13a1,with_only_children,0
Physical Disability,71,9,4,start,2015-11-01,2015-11-30,Q13a1,unknown_household_type,0
