income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,5,12,17,0.29,0,20,20,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Supplemental Security Income (SSI),8,5,13,0.62,1,1,2,0.5,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Social Security Disability Insurance (SSDI),8,4,12,0.67,1,1,2,0.5,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,2,2,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Pension or retirement income from a former job,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Child Support,1,0,1,1.0,0,3,3,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Other source,2,2,4,0.5,0,1,1,0.0,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
No Sources,6,9,15,0.4,1,8,9,0.11,0,0,0,0.0,adults,2015-11-01,2015-11-30,Q19b
Unduplicated Total Adults,24,29,53,NA,3,29,32,NA,0,0,0,NA,adults,2015-11-01,2015-11-30,Q19b
