dv_history,total,population,start_date,end_date,question,household_type,count
Yes,60,all_persons,2015-11-01,2015-11-30,Q14a,without_children,32
Yes,60,all_persons,2015-11-01,2015-11-30,Q14a,with_children_and_adults,28
Yes,60,all_persons,2015-11-01,2015-11-30,Q14a,with_only_children,0
Yes,60,all_persons,2015-11-01,2015-11-30,Q14a,unknown_household_type,0
No,374,all_persons,2015-11-01,2015-11-30,Q14a,without_children,266
No,374,all_persons,2015-11-01,2015-11-30,Q14a,with_children_and_adults,108
No,374,all_persons,2015-11-01,2015-11-30,Q14a,with_only_children,0
No,374,all_persons,2015-11-01,2015-11-30,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,3,all_persons,2015-11-01,2015-11-30,Q14a,without_children,1
Client Doesn't Know/Client Refused,3,all_persons,2015-11-01,2015-11-30,Q14a,with_children_and_adults,2
Client Doesn't Know/Client Refused,3,all_persons,2015-11-01,2015-11-30,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,3,all_persons,2015-11-01,2015-11-30,Q14a,unknown_household_type,0
Data Not Collected,18,all_persons,2015-11-01,2015-11-30,Q14a,without_children,17
Data Not Collected,18,all_persons,2015-11-01,2015-11-30,Q14a,with_children_and_adults,0
Data Not Collected,18,all_persons,2015-11-01,2015-11-30,Q14a,with_only_children,0
Data Not Collected,18,all_persons,2015-11-01,2015-11-30,Q14a,unknown_household_type,1
