conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_start,18
Mental Health Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_latest_assessment_for_stayers,16
Mental Health Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_exit_for_leavers,2
Alcohol Use Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_start,7
Alcohol Use Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_latest_assessment_for_stayers,3
Alcohol Use Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_exit_for_leavers,4
Drug Use Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_start,0
Drug Use Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_latest_assessment_for_stayers,0
Drug Use Disorder,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_exit_for_leavers,0
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_start,7
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_latest_assessment_for_stayers,6
Both Alcohol and Drug Use Disorders,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_exit_for_leavers,1
Chronic Health Condition,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_start,15
Chronic Health Condition,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_latest_assessment_for_stayers,11
Chronic Health Condition,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_exit_for_leavers,4
HIV/AIDS,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_start,0
HIV/AIDS,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_latest_assessment_for_stayers,0
HIV/AIDS,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_exit_for_leavers,0
Development Disability,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_start,3
Development Disability,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_latest_assessment_for_stayers,3
Development Disability,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_exit_for_leavers,0
Physical Disability,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_start,13
Physical Disability,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_latest_assessment_for_stayers,10
Physical Disability,chronically_homeless,2015-11-01,2015-11-30,Q26e,conditions_at_exit_for_leavers,3
