, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",5,5,0,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",0,0,0,0,0
"""22 to 30 days""",8,1,7,0,0
"""31 to 60 days""",12,4,8,0,0
"""61 to 180 days""",5,0,5,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",30,10,20,0,0
"""Average length of time to housing""",46,20,59,0,0
"""Persons who were exited without move-in""",0,0,0,0,0
"""Total""",30,10,20,0,0
