"""Total Number of Persons Served""",574
"""Number of Adults (age 18 or over)""",450
"""Number of Children (under age 18)""",123
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",157
"""Number of Adult Leavers""",119
"""Number of Adult and Head of Household Leavers""",119
"""Number of Stayers""",417
"""Number of Adult Stayers""",331
"""Number of Veterans""",25
"""Number of Chronically Homeless Persons""",49
"""Number of Youth Under Age 25""",32
"""Number of Parenting Youth Under Age 25 with Children""",12
"""Number of Adult Heads of Household""",372
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",106
