"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",115,3,32
"""Adults with Only Other Income""",97,21,24
"""Adults with Both Earned and Other Income""",21,0,5
"""Adults with No Income""",209,10,58
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,225,0
"""Number of Adult Stayers without Required Annual Assessment""",0,72,0
"""Total Adults""",450,331,119
"""1 or More Source of Income""",251,27,64
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,34,0
