, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",1,24,25,0.04,0,12,12,0.0,0,0,0,0.0
"""Supplemental Security Income (SSI)""",6,2,8,0.75,2,1,3,0.67,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",4,2,6,0.67,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",2,2,4,0.5,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,4,4,0.0,0,0,0,0.0
"""Other source""",2,2,4,0.5,0,0,0,0.0,0,0,0,0.0
"""No Sources""",17,26,43,0.4,2,6,8,0.25,0,0,0,0.0
"""Unduplicated Total Adults""",31,55,86,,5,22,27,,0,0,0,
