, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",9,0,3
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",2,0,0
"""Social Security Disability Insurance (SSDI)""",3,0,1
"""VA Service - Connected Disability Compensation""",2,0,0
"""VA Non-Service Connected Disability Pension""",1,0,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",1,0,1
"""Pension or retirement income from a former job""",1,0,0
"""Child Support""",1,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",1,0,0
"""Veterans with Income Information at Start and Annual Assessment/Exit""",0,0,0
