, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",12,48,60,0.2,2,15,17,0.12,0,0,0,0.0
"""Supplemental Security Income (SSI)""",16,5,21,0.76,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",24,5,29,0.83,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",2,0,2,1.0,2,0,2,1.0,0,0,0,0.0
"""Retirement Income from Social Security""",2,0,2,1.0,1,0,1,1.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,2,3,0.33,0,0,0,0.0,0,0,0,0.0
"""Child Support""",4,2,6,0.67,0,3,3,0.0,0,0,0,0.0
"""Other source""",2,3,5,0.4,0,0,0,0.0,0,0,0,0.0
"""No Sources""",24,35,59,0.41,3,6,9,0.33,0,0,0,0.0
"""Unduplicated Total Adults""",68,96,164,,9,22,31,,0,0,0,
