, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",14,11,1
"""Unemployment Insurance""",0,0,0
"""Supplemental Security Income (SSI)""",24,16,2
"""Social Security Disability Insurance (SSDI)""",14,7,2
"""VA Service - Connected Disability Compensation""",5,4,1
"""VA Non-Service Connected Disability Pension""",2,2,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",3,1,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",3,1,0
"""Pension or retirement income from a former job""",2,0,1
"""Child Support""",1,0,1
"""Alimony and other spousal support""",0,0,0
"""Other Source""",0,0,0
"""Chronically Homeless Persons with Income Information at Start and Annual Assessment/Exit""",0,45,0
