, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",208,12,84
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",93,24,26
"""Social Security Disability Insurance (SSDI)""",93,10,36
"""VA Service - Connected Disability Compensation""",7,4,2
"""VA Non-Service Connected Disability Pension""",3,3,1
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",1,0,1
"""Temporary Assistance for Needy Families (TANF)""",19,1,4
"""General Assistance (GA)""",1,0,0
"""Retirement Income from Social Security""",10,2,3
"""Pension or retirement income from a former job""",8,0,3
"""Child Support""",21,1,11
"""Alimony and other spousal support""",3,0,2
"""Other Source""",6,0,3
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,59,0
