"""Total Number of Persons Served""",919
"""Number of Adults (age 18 or over)""",724
"""Number of Children (under age 18)""",189
"""Number of Persons with Unknown Age""",6
"""Number of Leavers""",341
"""Number of Adult Leavers""",299
"""Number of Adult and Head of Household Leavers""",299
"""Number of Stayers""",578
"""Number of Adult Stayers""",425
"""Number of Veterans""",51
"""Number of Chronically Homeless Persons""",102
"""Number of Youth Under Age 25""",59
"""Number of Parenting Youth Under Age 25 with Children""",4
"""Number of Adult Heads of Household""",622
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",123
