"""Number of Youth by Income Category""", "Number of Youth at Start" , "Number of Youth at Annual Assessment (Stayers)" , "Number of Youth at Exit (Leavers)"
"""Youth with Only Earned Income (ie.e, Employment Income)""",20,0,9
"""Youth with Only Other Income""",5,1,2
"""Youth with Both Earned and Other Income""",1,0,0
"""Youth with No Income""",31,0,18
"""Youth with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Youth with Missing Income Information""",2,0,0
"""Number of Youth Stayers not yet Required to Have an Annual Assessment""",0,21,0
"""Number of Youth Stayers without Required Annual Assessment""",0,8,0
"""Total Youth""",59,30,29
"""1 or More Source of Income""",28,1,12
"""Youth with Income Information at Start and Annual Assessment/Exit""",0,1,0
