"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",107,2,29
"""Adults with Only Other Income""",104,23,16
"""Adults with Both Earned and Other Income""",20,0,6
"""Adults with No Income""",145,11,28
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",6,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,196,0
"""Number of Adult Stayers without Required Annual Assessment""",0,71,0
"""Total Adults""",383,303,80
"""1 or More Source of Income""",245,29,52
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,36,0
