, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",9,6,3,0,0
"""8 to 14 days""",1,1,0,0,0
"""15 to 21 days""",2,0,2,0,0
"""22 to 30 days""",3,1,2,0,0
"""31 to 60 days""",7,2,5,0,0
"""61 to 180 days""",28,11,17,0,0
"""181 to 365 days""",14,8,6,0,0
"""366-730 days (1-2 years)""",24,21,3,0,0
"""731 days or more""",20,20,0,0,0
"""Total (persons moved into housing)""",108,70,38,0,0
"""Not yet moved into housing""",35,15,20,0,0
"""Data not collected""",56,25,31,0,0
"""Total persons""",199,110,89,0,0
