, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",235,23,47
"""MEDICARE""",61,10,9
"""State Children's Health Insurance Program""",6,0,5
"""Veteran's Administration (VA) Medical Services""",10,0,1
"""Employer - Provided Health Insurance""",32,0,9
"""Health Insurance obtained through COBRA""",0,0,0
"""Private Pay Health Insurance""",31,3,1
"""State Health Insurance for Adults""",4,1,1
"""Indian Health Services Program""",1,0,0
"""Other""",1,0,0
"""No Health Insurance""",191,10,52
"""Client Doesn't Know/Client Refused""",1,0,0
"""Data Not Collected""",11,78,1
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,300,0
"""1 Source of Health Insurance""",296,21,65
"""More than 1 Source of Health Insurance""",41,8,4
