"""Total Number of Persons Served""",538
"""Number of Adults (age 18 or over)""",383
"""Number of Children (under age 18)""",153
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",121
"""Number of Adult Leavers""",80
"""Number of Adult and Head of Household Leavers""",80
"""Number of Stayers""",417
"""Number of Adult Stayers""",303
"""Number of Veterans""",20
"""Number of Chronically Homeless Persons""",43
"""Number of Youth Under Age 25""",28
"""Number of Parenting Youth Under Age 25 with Children""",10
"""Number of Adult Heads of Household""",311
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",108
