, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",127,2,35
"""Unemployment Insurance""",1,1,0
"""Supplemental Security Income (SSI)""",61,16,13
"""Social Security Disability Insurance (SSDI)""",45,11,8
"""VA Service - Connected Disability Compensation""",4,0,0
"""VA Non-Service Connected Disability Pension""",1,0,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",8,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",6,0,1
"""Pension or retirement income from a former job""",4,0,1
"""Child Support""",13,0,1
"""Alimony and other spousal support""",1,0,0
"""Other Source""",6,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,36,0
