number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,143
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,8
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,22
Adults with Only Other Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,198
Adults with Only Other Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,36
Adults with Only Other Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,38
Adults with Both Earned and Other Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,27
Adults with Both Earned and Other Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,2
Adults with No Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,477
Adults with No Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,17
Adults with No Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,125
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,17
Adults with Missing Income Information,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,384
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,234
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,868
Total Adults,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,679
Total Adults,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,189
1 or More Source of Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,412
1 or More Source of Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,45
1 or More Source of Income,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,69
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_annual_assessment_stayers,61
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-10-01,2020-10-31,Q18,number_of_adults_at_exit_leavers,0
