ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,170,all_persons,2020-10-01,2020-10-31,Q26b,without_children,151
Chronically Homeless ,170,all_persons,2020-10-01,2020-10-31,Q26b,with_children_and_adults,19
Chronically Homeless ,170,all_persons,2020-10-01,2020-10-31,Q26b,with_only_children,0
Chronically Homeless ,170,all_persons,2020-10-01,2020-10-31,Q26b,unknown_household_type,0
Not Chronically Homeless,931,all_persons,2020-10-01,2020-10-31,Q26b,without_children,529
Not Chronically Homeless,931,all_persons,2020-10-01,2020-10-31,Q26b,with_children_and_adults,374
Not Chronically Homeless,931,all_persons,2020-10-01,2020-10-31,Q26b,with_only_children,15
Not Chronically Homeless,931,all_persons,2020-10-01,2020-10-31,Q26b,unknown_household_type,13
Client Doesn't Know/Client Refused,4,all_persons,2020-10-01,2020-10-31,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2020-10-01,2020-10-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2020-10-01,2020-10-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2020-10-01,2020-10-31,Q26b,unknown_household_type,0
Data Not Collected,29,all_persons,2020-10-01,2020-10-31,Q26b,without_children,22
Data Not Collected,29,all_persons,2020-10-01,2020-10-31,Q26b,with_children_and_adults,5
Data Not Collected,29,all_persons,2020-10-01,2020-10-31,Q26b,with_only_children,1
Data Not Collected,29,all_persons,2020-10-01,2020-10-31,Q26b,unknown_household_type,1
