income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,10,6,16,0.63,2,4,6,0.33,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Supplemental Security Income (SSI),21,0,21,1.0,2,0,2,1.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Social Security Disability Insurance (SSDI),14,0,14,1.0,2,0,2,1.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Retirement Income from Social Security,2,0,2,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Child Support,2,0,2,1.0,3,0,3,1.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Other source,5,0,5,1.0,0,2,2,0.0,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
No Sources,13,24,37,0.35,2,5,7,0.29,0,0,0,0.0,adults,2020-10-01,2020-10-31,Q19b
Unduplicated Total Adults,57,30,87,NA,9,11,20,NA,0,0,0,NA,adults,2020-10-01,2020-10-31,Q19b
