length,total,population,start_date,end_date,question,status,count
30 days or less,297,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,177
30 days or less,297,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,120
31 to 60 days,82,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,16
31 to 60 days,82,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,66
61 to 90 days,94,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,19
61 to 90 days,94,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,75
91 to 180 days,94,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,4
91 to 180 days,94,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,90
181 to 365 days,127,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,7
181 to 365 days,127,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,120
366 to 730 Days (1-2 Yrs),254,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,1
366 to 730 Days (1-2 Yrs),254,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,253
"731 to 1,095 Days (2-3 Yrs)",92,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",92,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,92
"1,096 to 1,460 Days (3-4 Yrs)",27,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",27,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,27
"1,461 to 1,825 Days (5-5 Yrs)",30,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",30,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,30
"More than 1,825 Days (>5 Yrs)",37,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",37,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,37
Data Not Collected,0,all_persons,2020-10-01,2020-10-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2020-10-01,2020-10-31,Q22a1,stayers,0
