pit_month,total,population,start_date,end_date,question,household_type,count
January,1430,all_persons,2022-01-01,2022-01-31,Q7b,without_children,879
January,1430,all_persons,2022-01-01,2022-01-31,Q7b,with_children_and_adults,504
January,1430,all_persons,2022-01-01,2022-01-31,Q7b,with_only_children,30
January,1430,all_persons,2022-01-01,2022-01-31,Q7b,unknown_household_type,17
April,0,all_persons,2022-01-01,2022-01-31,Q7b,without_children,0
April,0,all_persons,2022-01-01,2022-01-31,Q7b,with_children_and_adults,0
April,0,all_persons,2022-01-01,2022-01-31,Q7b,with_only_children,0
April,0,all_persons,2022-01-01,2022-01-31,Q7b,unknown_household_type,0
July,0,all_persons,2022-01-01,2022-01-31,Q7b,without_children,0
July,0,all_persons,2022-01-01,2022-01-31,Q7b,with_children_and_adults,0
July,0,all_persons,2022-01-01,2022-01-31,Q7b,with_only_children,0
July,0,all_persons,2022-01-01,2022-01-31,Q7b,unknown_household_type,0
October,0,all_persons,2022-01-01,2022-01-31,Q7b,without_children,0
October,0,all_persons,2022-01-01,2022-01-31,Q7b,with_children_and_adults,0
October,0,all_persons,2022-01-01,2022-01-31,Q7b,with_only_children,0
October,0,all_persons,2022-01-01,2022-01-31,Q7b,unknown_household_type,0
