length,total,population,start_date,end_date,question,status,count
30 days or less,327,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,142
30 days or less,327,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,185
31 to 60 days,153,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,29
31 to 60 days,153,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,124
61 to 90 days,131,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,8
61 to 90 days,131,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,123
91 to 180 days,276,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,27
91 to 180 days,276,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,249
181 to 365 days,152,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,11
181 to 365 days,152,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,141
366 to 730 Days (1-2 Yrs),175,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,3
366 to 730 Days (1-2 Yrs),175,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,172
"731 to 1,095 Days (2-3 Yrs)",249,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",249,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,249
"1,096 to 1,460 Days (3-4 Yrs)",94,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",94,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,94
"1,461 to 1,825 Days (5-5 Yrs)",33,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",33,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,33
"More than 1,825 Days (>5 Yrs)",65,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,1
"More than 1,825 Days (>5 Yrs)",65,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,64
Data Not Collected,0,all_persons,2022-01-01,2022-01-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2022-01-01,2022-01-31,Q22a1,stayers,0
