non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_start,106
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,23
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_exit_for_leavers,11
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_start,2
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,2
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_exit_for_leavers,0
TANF Child Care Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_start,0
TANF Child Care Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_exit_for_leavers,0
TANF Transportation Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_start,0
TANF Transportation Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_exit_for_leavers,0
Other TANF-Funded Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_start,0
Other TANF-Funded Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_exit_for_leavers,0
Other Source,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_start,3
Other Source,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_latest_annual_assessment_for_stayers,3
Other Source,chronically_homeless,2022-01-01,2022-01-31,Q26h,benefit_at_exit_for_leavers,0
