number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,222
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,8
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,40
Adults with Only Other Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,242
Adults with Only Other Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,39
Adults with Only Other Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,30
Adults with Both Earned and Other Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,34
Adults with Both Earned and Other Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,6
Adults with No Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,746
Adults with No Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,14
Adults with No Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,105
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,3
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,1
Adults with Missing Income Information,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,42
Adults with Missing Income Information,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,1
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,664
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,384
Number of Adult Stayers without Required Annual Assessment,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,1293
Total Adults,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,1110
Total Adults,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,183
1 or More Source of Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,557
1 or More Source of Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,49
1 or More Source of Income,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,80
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_annual_assessment_stayers,62
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2022-01-01,2022-01-31,Q18,number_of_adults_at_exit_leavers,0
