veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,23,all_persons,2022-01-01,2022-01-31,Q25a,without_children,23
Chronically Homeless Veteran,23,all_persons,2022-01-01,2022-01-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,23,all_persons,2022-01-01,2022-01-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,57,all_persons,2022-01-01,2022-01-31,Q25a,without_children,53
Non-Chronically Homeless Veteran,57,all_persons,2022-01-01,2022-01-31,Q25a,with_children_and_adults,4
Non-Chronically Homeless Veteran,57,all_persons,2022-01-01,2022-01-31,Q25a,unknown_household_type,0
Not a Veteran,1189,all_persons,2022-01-01,2022-01-31,Q25a,without_children,953
Not a Veteran,1189,all_persons,2022-01-01,2022-01-31,Q25a,with_children_and_adults,231
Not a Veteran,1189,all_persons,2022-01-01,2022-01-31,Q25a,unknown_household_type,5
Client Doesn't Know/Client Refused,2,all_persons,2022-01-01,2022-01-31,Q25a,without_children,2
Client Doesn't Know/Client Refused,2,all_persons,2022-01-01,2022-01-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_persons,2022-01-01,2022-01-31,Q25a,unknown_household_type,0
Data Not Collected,22,all_persons,2022-01-01,2022-01-31,Q25a,without_children,18
Data Not Collected,22,all_persons,2022-01-01,2022-01-31,Q25a,with_children_and_adults,4
Data Not Collected,22,all_persons,2022-01-01,2022-01-31,Q25a,unknown_household_type,0
