veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,22,all_households,2022-01-01,2022-01-31,Q25b,without_children,22
Chronically Homeless Veteran,22,all_households,2022-01-01,2022-01-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,22,all_households,2022-01-01,2022-01-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,55,all_households,2022-01-01,2022-01-31,Q25b,without_children,52
Non-Chronically Homeless Veteran,55,all_households,2022-01-01,2022-01-31,Q25b,with_children_and_adults,3
Non-Chronically Homeless Veteran,55,all_households,2022-01-01,2022-01-31,Q25b,unknown_household_type,0
Not a Veteran,953,all_households,2022-01-01,2022-01-31,Q25b,without_children,818
Not a Veteran,953,all_households,2022-01-01,2022-01-31,Q25b,with_children_and_adults,133
Not a Veteran,953,all_households,2022-01-01,2022-01-31,Q25b,unknown_household_type,2
Client Doesn't Know/Client Refused,2,all_households,2022-01-01,2022-01-31,Q25b,without_children,2
Client Doesn't Know/Client Refused,2,all_households,2022-01-01,2022-01-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,2,all_households,2022-01-01,2022-01-31,Q25b,unknown_household_type,0
Data Not Collected,15,all_households,2022-01-01,2022-01-31,Q25b,without_children,14
Data Not Collected,15,all_households,2022-01-01,2022-01-31,Q25b,with_children_and_adults,1
Data Not Collected,15,all_households,2022-01-01,2022-01-31,Q25b,unknown_household_type,0
