report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1655,all_persons,2022-01-01,2022-01-31,Q5a
Number of Adults (age 18 or over),1293,all_persons,2022-01-01,2022-01-31,Q5a
Number of Children (under age 18),348,all_persons,2022-01-01,2022-01-31,Q5a
Number of Persons with Unknown Age,14,all_persons,2022-01-01,2022-01-31,Q5a
Number of Leavers,221,all_persons,2022-01-01,2022-01-31,Q5a
Number of Adult Leavers,183,all_persons,2022-01-01,2022-01-31,Q5a
Number of Adult and Head of Household Leavers,186,all_persons,2022-01-01,2022-01-31,Q5a
Number of Stayers,1434,all_persons,2022-01-01,2022-01-31,Q5a
Number of Adult Stayers,1110,all_persons,2022-01-01,2022-01-31,Q5a
Number of Veterans,80,all_persons,2022-01-01,2022-01-31,Q5a
Number of Chronically Homeless Persons,221,all_persons,2022-01-01,2022-01-31,Q5a
Number of Youth Under Age 25,91,all_persons,2022-01-01,2022-01-31,Q5a
Number of Parenting Youth Under Age 25 with Children,14,all_persons,2022-01-01,2022-01-31,Q5a
Number of Adult Heads of Household,1054,all_persons,2022-01-01,2022-01-31,Q5a
Number of Child and Unknown-Age Heads of Household,6,all_persons,2022-01-01,2022-01-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,446,all_persons,2022-01-01,2022-01-31,Q5a
