count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,688,153,214,stayers,2022-01-01,2022-01-31,Q13c2,without_children,292
None,688,153,214,stayers,2022-01-01,2022-01-31,Q13c2,with_only_children,19
None,688,153,214,stayers,2022-01-01,2022-01-31,Q13c2,unknown_household_type,10
1 Condition,319,29,11,stayers,2022-01-01,2022-01-31,Q13c2,without_children,278
1 Condition,319,29,11,stayers,2022-01-01,2022-01-31,Q13c2,with_only_children,0
1 Condition,319,29,11,stayers,2022-01-01,2022-01-31,Q13c2,unknown_household_type,1
2 Conditions,129,5,1,stayers,2022-01-01,2022-01-31,Q13c2,without_children,123
2 Conditions,129,5,1,stayers,2022-01-01,2022-01-31,Q13c2,with_only_children,0
2 Conditions,129,5,1,stayers,2022-01-01,2022-01-31,Q13c2,unknown_household_type,0
3+ Conditions,116,1,0,stayers,2022-01-01,2022-01-31,Q13c2,without_children,115
3+ Conditions,116,1,0,stayers,2022-01-01,2022-01-31,Q13c2,with_only_children,0
3+ Conditions,116,1,0,stayers,2022-01-01,2022-01-31,Q13c2,unknown_household_type,0
Condition Unknown,66,3,5,stayers,2022-01-01,2022-01-31,Q13c2,without_children,57
Condition Unknown,66,3,5,stayers,2022-01-01,2022-01-31,Q13c2,with_only_children,1
Condition Unknown,66,3,5,stayers,2022-01-01,2022-01-31,Q13c2,unknown_household_type,0
Client Doesn't Know/Client Refused,3,0,0,stayers,2022-01-01,2022-01-31,Q13c2,without_children,3
Client Doesn't Know/Client Refused,3,0,0,stayers,2022-01-01,2022-01-31,Q13c2,with_only_children,0
Client Doesn't Know/Client Refused,3,0,0,stayers,2022-01-01,2022-01-31,Q13c2,unknown_household_type,0
Data Not Collected,113,20,51,stayers,2022-01-01,2022-01-31,Q13c2,without_children,26
Data Not Collected,113,20,51,stayers,2022-01-01,2022-01-31,Q13c2,with_only_children,10
Data Not Collected,113,20,51,stayers,2022-01-01,2022-01-31,Q13c2,unknown_household_type,6
