count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_entry,708
No Sources,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,26
No Sources,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_exit_for_leavers,89
1 + Source(s),all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_entry,426
1 + Source(s),all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,35
1 + Source(s),all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_exit_for_leavers,62
Client Doesn't Know/Client Refused,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_entry,4
Client Doesn't Know/Client Refused,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_exit_for_leavers,1
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_entry,155
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,1049
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2022-01-01,2022-01-31,Q20b,benefit_at_exit_for_leavers,31
