persons_served,total,population,start_date,end_date,question,household_type,count
Adults,820,all_persons,2019-09-01,2019-09-30,Q7a,without_children,603
Adults,820,all_persons,2019-09-01,2019-09-30,Q7a,with_children_and_adults,216
Adults,820,all_persons,2019-09-01,2019-09-30,Q7a,with_only_children,0
Adults,820,all_persons,2019-09-01,2019-09-30,Q7a,unknown_household_type,1
Children,334,all_persons,2019-09-01,2019-09-30,Q7a,without_children,0
Children,334,all_persons,2019-09-01,2019-09-30,Q7a,with_children_and_adults,319
Children,334,all_persons,2019-09-01,2019-09-30,Q7a,with_only_children,15
Children,334,all_persons,2019-09-01,2019-09-30,Q7a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2019-09-01,2019-09-30,Q7a,without_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-09-01,2019-09-30,Q7a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2019-09-01,2019-09-30,Q7a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2019-09-01,2019-09-30,Q7a,unknown_household_type,1
Data Not Collected,4,all_persons,2019-09-01,2019-09-30,Q7a,without_children,0
Data Not Collected,4,all_persons,2019-09-01,2019-09-30,Q7a,with_children_and_adults,0
Data Not Collected,4,all_persons,2019-09-01,2019-09-30,Q7a,with_only_children,0
Data Not Collected,4,all_persons,2019-09-01,2019-09-30,Q7a,unknown_household_type,4
For PSH and RRH - the total persons served who moved into housing,150,all_persons,2019-09-01,2019-09-30,Q7a,without_children,89
For PSH and RRH - the total persons served who moved into housing,150,all_persons,2019-09-01,2019-09-30,Q7a,with_children_and_adults,61
For PSH and RRH - the total persons served who moved into housing,150,all_persons,2019-09-01,2019-09-30,Q7a,with_only_children,0
For PSH and RRH - the total persons served who moved into housing,150,all_persons,2019-09-01,2019-09-30,Q7a,unknown_household_type,0
