number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,207
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,8
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,55
Adults with Only Other Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,167
Adults with Only Other Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,36
Adults with Only Other Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,50
Adults with Both Earned and Other Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,39
Adults with Both Earned and Other Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,3
Adults with Both Earned and Other Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,10
Adults with No Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,389
Adults with No Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,13
Adults with No Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,165
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,15
Adults with Missing Income Information,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,3
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,387
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,90
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,820
Total Adults,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,537
Total Adults,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,283
1 or More Source of Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,441
1 or More Source of Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,49
1 or More Source of Income,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,119
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_annual_assessment_stayers,60
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-09-01,2019-09-30,Q18,number_of_adults_at_exit_leavers,0
