number_of_youth_by_income_category,population,start_date,end_date,question,status,count
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,21
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
"Youth with Only Earned Income (ie.e, Employment Income)",youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,4
Youth with Only Other Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,2
Youth with Only Other Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Only Other Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,1
Youth with Both Earned and Other Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,1
Youth with Both Earned and Other Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Both Earned and Other Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with No Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,51
Youth with No Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with No Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,22
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Client Doesn't Know/Client Refused Income Information,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,0
Youth with Missing Income Information,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,3
Youth with Missing Income Information,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Missing Income Information,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,1
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,38
Number of Youth Stayers not yet Required to Have an Annual Assessment,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,0
Number of Youth Stayers without Required Annual Assessment,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,12
Number of Youth Stayers without Required Annual Assessment,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,0
Total Youth,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,78
Total Youth,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,50
Total Youth,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,28
1 or More Source of Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,26
1 or More Source of Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
1 or More Source of Income,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,5
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_start,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_annual_assessment_stayers,0
Youth with Income Information at Start and Annual Assessment/Exit,youth,2019-09-01,2019-09-30,Q27h,number_of_youth_at_exit_leavers,0
