count_conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
None,198,36,63,all_persons,2019-09-01,2019-09-30,Q13b2,without_children,99
None,198,36,63,all_persons,2019-09-01,2019-09-30,Q13b2,with_only_children,0
None,198,36,63,all_persons,2019-09-01,2019-09-30,Q13b2,unknown_household_type,0
1 Condition,47,7,8,all_persons,2019-09-01,2019-09-30,Q13b2,without_children,32
1 Condition,47,7,8,all_persons,2019-09-01,2019-09-30,Q13b2,with_only_children,0
1 Condition,47,7,8,all_persons,2019-09-01,2019-09-30,Q13b2,unknown_household_type,0
2 Conditions,30,2,1,all_persons,2019-09-01,2019-09-30,Q13b2,without_children,27
2 Conditions,30,2,1,all_persons,2019-09-01,2019-09-30,Q13b2,with_only_children,0
2 Conditions,30,2,1,all_persons,2019-09-01,2019-09-30,Q13b2,unknown_household_type,0
3+ Conditions,23,6,0,all_persons,2019-09-01,2019-09-30,Q13b2,without_children,17
3+ Conditions,23,6,0,all_persons,2019-09-01,2019-09-30,Q13b2,with_only_children,0
3+ Conditions,23,6,0,all_persons,2019-09-01,2019-09-30,Q13b2,unknown_household_type,0
Condition Unknown,55,0,1,all_persons,2019-09-01,2019-09-30,Q13b2,without_children,54
Condition Unknown,55,0,1,all_persons,2019-09-01,2019-09-30,Q13b2,with_only_children,0
Condition Unknown,55,0,1,all_persons,2019-09-01,2019-09-30,Q13b2,unknown_household_type,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2019-09-01,2019-09-30,Q13b2,without_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2019-09-01,2019-09-30,Q13b2,with_only_children,0
Client Doesn't Know/Client Refused,0,0,0,all_persons,2019-09-01,2019-09-30,Q13b2,unknown_household_type,0
Data Not Collected,7,1,4,all_persons,2019-09-01,2019-09-30,Q13b2,without_children,2
Data Not Collected,7,1,4,all_persons,2019-09-01,2019-09-30,Q13b2,with_only_children,0
Data Not Collected,7,1,4,all_persons,2019-09-01,2019-09-30,Q13b2,unknown_household_type,0
