race,total,population,start_date,end_date,question,household_type,count
White,777,all_persons,2019-09-01,2019-09-30,Q12a,without_children,437
White,777,all_persons,2019-09-01,2019-09-30,Q12a,with_children_and_adults,334
White,777,all_persons,2019-09-01,2019-09-30,Q12a,with_only_children,6
White,777,all_persons,2019-09-01,2019-09-30,Q12a,unknown_household_type,0
"Black, African American, or African",288,all_persons,2019-09-01,2019-09-30,Q12a,without_children,141
"Black, African American, or African",288,all_persons,2019-09-01,2019-09-30,Q12a,with_children_and_adults,138
"Black, African American, or African",288,all_persons,2019-09-01,2019-09-30,Q12a,with_only_children,7
"Black, African American, or African",288,all_persons,2019-09-01,2019-09-30,Q12a,unknown_household_type,2
Asian or Asian American,9,all_persons,2019-09-01,2019-09-30,Q12a,without_children,1
Asian or Asian American,9,all_persons,2019-09-01,2019-09-30,Q12a,with_children_and_adults,5
Asian or Asian American,9,all_persons,2019-09-01,2019-09-30,Q12a,with_only_children,0
Asian or Asian American,9,all_persons,2019-09-01,2019-09-30,Q12a,unknown_household_type,3
"American Indian, Alaska Native, or Indigenous",3,all_persons,2019-09-01,2019-09-30,Q12a,without_children,3
"American Indian, Alaska Native, or Indigenous",3,all_persons,2019-09-01,2019-09-30,Q12a,with_children_and_adults,0
"American Indian, Alaska Native, or Indigenous",3,all_persons,2019-09-01,2019-09-30,Q12a,with_only_children,0
"American Indian, Alaska Native, or Indigenous",3,all_persons,2019-09-01,2019-09-30,Q12a,unknown_household_type,0
Native Hawaiian or Pacific Islander,1,all_persons,2019-09-01,2019-09-30,Q12a,without_children,1
Native Hawaiian or Pacific Islander,1,all_persons,2019-09-01,2019-09-30,Q12a,with_children_and_adults,0
Native Hawaiian or Pacific Islander,1,all_persons,2019-09-01,2019-09-30,Q12a,with_only_children,0
Native Hawaiian or Pacific Islander,1,all_persons,2019-09-01,2019-09-30,Q12a,unknown_household_type,0
Multiple Races,68,all_persons,2019-09-01,2019-09-30,Q12a,without_children,18
Multiple Races,68,all_persons,2019-09-01,2019-09-30,Q12a,with_children_and_adults,48
Multiple Races,68,all_persons,2019-09-01,2019-09-30,Q12a,with_only_children,2
Multiple Races,68,all_persons,2019-09-01,2019-09-30,Q12a,unknown_household_type,0
Client Doesn't Know/Client Refused,5,all_persons,2019-09-01,2019-09-30,Q12a,without_children,2
Client Doesn't Know/Client Refused,5,all_persons,2019-09-01,2019-09-30,Q12a,with_children_and_adults,3
Client Doesn't Know/Client Refused,5,all_persons,2019-09-01,2019-09-30,Q12a,with_only_children,0
Client Doesn't Know/Client Refused,5,all_persons,2019-09-01,2019-09-30,Q12a,unknown_household_type,0
Data Not Collected,8,all_persons,2019-09-01,2019-09-30,Q12a,without_children,0
Data Not Collected,8,all_persons,2019-09-01,2019-09-30,Q12a,with_children_and_adults,7
Data Not Collected,8,all_persons,2019-09-01,2019-09-30,Q12a,with_only_children,0
Data Not Collected,8,all_persons,2019-09-01,2019-09-30,Q12a,unknown_household_type,1
