exit_destination,total,population,start_date,end_date,question,category,household_type,count
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
Moved from one HOPWA funded project to HOPWA PH,0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Owned by client, no ongoing subsidy",3,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,2
"Owned by client, no ongoing subsidy",3,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,1
"Owned by client, no ongoing subsidy",3,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Owned by client, no ongoing subsidy",3,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Owned by client, with ongoing subsidy",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,0
"Owned by client, with ongoing subsidy",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Owned by client, with ongoing subsidy",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Owned by client, with ongoing subsidy",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, no ongoing subsidy",175,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,64
"Rental by client, no ongoing subsidy",175,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,111
"Rental by client, no ongoing subsidy",175,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, no ongoing subsidy",175,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with VASH subsidy",1,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,1
"Rental by client, with VASH subsidy",1,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with VASH subsidy",1,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, with VASH subsidy",1,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, with GPD TIP subsidy",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, other ongoing subsidy",9,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,5
"Rental by client, other ongoing subsidy",9,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,4
"Rental by client, other ongoing subsidy",9,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, other ongoing subsidy",9,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
Permanent housing (other than RRH) for formerly homeless persons,2,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,2
Permanent housing (other than RRH) for formerly homeless persons,2,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,0
Permanent housing (other than RRH) for formerly homeless persons,2,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
Permanent housing (other than RRH) for formerly homeless persons,2,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Staying or living with family, permanent tenure",15,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,2
"Staying or living with family, permanent tenure",15,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,13
"Staying or living with family, permanent tenure",15,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Staying or living with family, permanent tenure",15,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Staying or living with friends, permanent tenure",2,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,2
"Staying or living with friends, permanent tenure",2,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Staying or living with friends, permanent tenure",2,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Staying or living with friends, permanent tenure",2,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with RRH or equivalent subsidy",4,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,4
"Rental by client, with RRH or equivalent subsidy",4,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with RRH or equivalent subsidy",4,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
"Rental by client, with RRH or equivalent subsidy",4,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,unknown_household_type,0
"Rental by client, with HCV voucher (tenant or project based)",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,without_children,0
"Rental by client, with HCV voucher (tenant or project based)",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_children_and_adults,0
"Rental by client, with HCV voucher (tenant or project based)",0,all_persons,2019-09-01,2019-09-30,Q23c,Permanent Destinations,with_only_children,0
