, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",149,0,41
"""Unemployment Insurance""",3,1,0
"""Supplemental Security Income (SSI)""",77,13,10
"""Social Security Disability Insurance (SSDI)""",56,8,10
"""VA Service - Connected Disability Compensation""",5,0,0
"""VA Non-Service Connected Disability Pension""",3,0,1
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,0,5
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",8,0,1
"""Pension or retirement income from a former job""",1,0,0
"""Child Support""",25,0,8
"""Alimony and other spousal support""",2,0,0
"""Other Source""",7,0,3
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,25,0
