"Organization Name" , "Organization ID" , "Project Name" , "Project ID" , "HMIS Project Type" , "Method for Tracking ES" , "Affiliated with a residential project" , "Project IDs of affiliations" , "CoC Number" , "Geocode" , "Victim Service Provider" , "HMIS Software Name" , "Report Start Date" , "Report End Date"
,,"Blue Ridge Housing Network - Parent",1516,"6",,0,"",,,0,"ServicePoint",2016-12-01,2016-12-31
"Harrisonburg Community Health Center-Valley AIDS Network(VAN) - Western CoC","1449","Hburg Care Management - STRMU Prevention",1515,"12",,,"","VA-513","510726",0,"ServicePoint",2016-12-01,2016-12-31
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: HPP DHCD (Closed)",1222,"12",,,"","VA-513","519171",0,"ServicePoint",2016-12-01,2016-12-31
"Winchester Rescue Mission - PARENT","1563","Winchester Rescue Mission Vouchers DHCD/VHSP CDBG",2039,"1",0,,"","VA-513","511674",0,"ServicePoint",2016-12-01,2016-12-31
"Western Virginia CoC - BFZ","1183","Front Royal Thermal Shelter - Parent",1806,"7",,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
"Salvation Army of Winchester","1194","Salvation Army of Winchester: ES (HMIS Start 1-23-2021)",1203,"1",0,,"","VA-513","519069",0,"ServicePoint",2016-12-01,2016-12-31
"Mercy House Parent","1286","Mercy House Z: HPP (closed)",1292,"12",,,"","VA-513","510726",0,"ServicePoint",2016-12-01,2016-12-31
"Mercy House Parent","1286","Mercy House Z: HSG Rapid Rehousing (closed)",1293,"13",,,"","VA-513","510726",0,"ServicePoint",2016-12-01,2016-12-31
"Western Virginia CoC - BFZ","1183","Phoenix Project CDBG Hotel/Motel Vouchers (HIC ONLY)",2085,"1",0,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
"Winchester Rescue Mission - PARENT","1563","Winchester Rescue Mission COVID 19",1866,"1",0,,"","VA-513","511674",0,"ServicePoint",2016-12-01,2016-12-31
"Mercy House Parent","1286","Mercy House ES COVID Self Funded Vouchers",1857,"1",0,,"","VA-513","510726",0,"ServicePoint",2016-12-01,2016-12-31
"Winchester Rescue Mission - PARENT","1563","Winchester Rescue Mission Men's Shelter CHERP",1565,"1",0,,"","VA-513","511674",0,"ServicePoint",2016-12-01,2016-12-31
"Strength in Peers  PARENT","1531","Strength in Peers Offender Reentry Program(closed)",1536,"6",,0,"","VA-513",,0,"ServicePoint",2016-12-01,2016-12-31
"Homeward","2","Faithworks",1284,"9",,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
"Western Virginia CoC - BFZ","1183","Western SO - Unsheltered Hburg, Rham, Shen, Page",1686,"4",,,"","VA-513","510726",0,"ServicePoint",2016-12-01,2016-12-31
,,"Community Services Board",1325,,,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
,,"Harrisonburg & Rockingham Free Clinic (closed)",1318,,,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
"Western Virginia CoC - BFZ","1183","House of Hope",1189,"7",,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
"Central Intake - Parent","1300","Central Intake - Parent",1300,"6",,0,"",,,0,"ServicePoint",2016-12-01,2016-12-31
"Western Virginia CoC - BFZ","1183","First Step RRH HIC ONLY",1790,"13",,,"","VA-513","510726",1,"ServicePoint",2016-12-01,2016-12-31
"Homeward","2","Watts Thermal Shelter",1400,"1",0,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
"Mercy House Parent","1286","Mercy House: Prevention ESG CV 1-21",1999,"12",,,"","VA-513","510726",0,"ServicePoint",2016-12-01,2016-12-31
"WATTS - Parent","1399","WATTS Thermal Shelter ES (NbyN) (closed 03/31/21)",1794,"1",3,,"","VA-513","511674",0,"ServicePoint",2016-12-01,2016-12-31
"Winchester Rescue Mission - PARENT","1563","Winchester Rescue Mission Women's Shelter CHERP",1795,"1",0,,"","VA-513","511674",0,"ServicePoint",2016-12-01,2016-12-31
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: HSG Rapid Rehousing (Closed)",1248,"13",,,"","VA-513","519171",0,"ServicePoint",2016-12-01,2016-12-31
"Western Virginia CoC - BFZ","1183","Winchester Rescue Mission - TH WOMEN",1796,"2",,,"","VA-513","511674",0,"ServicePoint",2016-12-01,2016-12-31
"Shenandoah Alliance for Shelter","1191","Shenandoah Alliance for Shelter: TBRA Prevention",1304,"6",,0,"","VA-513",,0,"ServicePoint",2016-12-01,2016-12-31
"Homeward","2","AIDS Response Effort - Parent",1193,,,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
,,"AIDS Response CHERP PREVENTION 1-1-21",1988,"12",,,"","VA-513","519171",0,"ServicePoint",2016-12-01,2016-12-31
,,"Way To Go",1320,,,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
,,"Blue Ridge Area Health Education Center",1316,,,,"",,,0,"ServicePoint",2016-12-01,2016-12-31
