, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",52,35,17,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",12,5,7,0,0
"""22 to 30 days""",9,1,8,0,0
"""31 to 60 days""",36,15,21,0,0
"""61 to 180 days""",56,26,30,0,0
"""181 to 365 days""",26,25,1,0,0
"""366-730 days (1-2 years)""",27,27,0,0,0
"""731 days or more""",39,39,0,0,0
"""Total (persons moved into housing)""",257,173,84,0,0
"""Not yet moved into housing""",50,5,45,0,0
"""Data not collected""",38,28,10,0,0
"""Total persons""",345,206,139,0,0
