, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",173,6,53
"""$1 -  $150""",2,0,0
"""$151 - $250""",3,0,1
"""$251 - $500""",20,1,6
"""$501 - $1000""",99,7,17
"""$1001 - $1500""",76,9,16
"""$1501 - $2000""",33,0,10
"""$2001+""",47,1,13
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",43,1,8
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,262,0
"""Number of Adult Stayers without Required Annual Assessment""",0,85,0
"""Total Adults""",496,372,124
