"""Total Number of Persons Served""",736
"""Number of Adults (age 18 or over)""",496
"""Number of Children (under age 18)""",238
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",200
"""Number of Adult Leavers""",124
"""Number of Adult and Head of Household Leavers""",124
"""Number of Stayers""",536
"""Number of Adult Stayers""",372
"""Number of Veterans""",24
"""Number of Chronically Homeless Persons""",57
"""Number of Youth Under Age 25""",28
"""Number of Parenting Youth Under Age 25 with Children""",11
"""Number of Adult Heads of Household""",404
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",111
