"""Total Number of Persons Served""",561
"""Number of Adults (age 18 or over)""",417
"""Number of Children (under age 18)""",142
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",107
"""Number of Adult Leavers""",80
"""Number of Adult and Head of Household Leavers""",80
"""Number of Stayers""",454
"""Number of Adult Stayers""",337
"""Number of Veterans""",35
"""Number of Chronically Homeless Persons""",71
"""Number of Youth Under Age 25""",20
"""Number of Parenting Youth Under Age 25 with Children""",3
"""Number of Adult Heads of Household""",354
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",109
