, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",156,8,34
"""$1 -  $150""",4,1,3
"""$151 - $250""",5,0,0
"""$251 - $500""",16,0,3
"""$501 - $1000""",76,12,10
"""$1001 - $1500""",61,11,9
"""$1501 - $2000""",25,5,3
"""$2001+""",36,4,11
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",38,5,7
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,228,0
"""Number of Adult Stayers without Required Annual Assessment""",0,63,0
"""Total Adults""",417,337,80
