, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",107,7,24
"""Unemployment Insurance""",1,0,0
"""Supplemental Security Income (SSI)""",72,18,13
"""Social Security Disability Insurance (SSDI)""",48,11,4
"""VA Service - Connected Disability Compensation""",5,4,0
"""VA Non-Service Connected Disability Pension""",4,2,0
"""Private Disability Insurance""",0,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",13,0,1
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",4,2,2
"""Pension or retirement income from a former job""",1,0,0
"""Child Support""",12,0,1
"""Alimony and other spousal support""",1,0,0
"""Other Source""",3,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,46,0
