number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,102
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,3
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,24
Adults with Only Other Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,126
Adults with Only Other Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,19
Adults with Only Other Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,22
Adults with Both Earned and Other Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,19
Adults with Both Earned and Other Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,10
Adults with No Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,189
Adults with No Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,13
Adults with No Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,56
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,2
Adults with Missing Income Information,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,10
Adults with Missing Income Information,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,207
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,89
Number of Adult Stayers without Required Annual Assessment,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,448
Total Adults,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,332
Total Adults,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,116
1 or More Source of Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,260
1 or More Source of Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,26
1 or More Source of Income,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,60
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_annual_assessment_stayers,36
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2017-02-01,2017-02-28,Q18,number_of_adults_at_exit_leavers,0
