veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,18,all_persons,2017-02-01,2017-02-28,Q25a,without_children,18
Chronically Homeless Veteran,18,all_persons,2017-02-01,2017-02-28,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,18,all_persons,2017-02-01,2017-02-28,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,10,all_persons,2017-02-01,2017-02-28,Q25a,without_children,10
Non-Chronically Homeless Veteran,10,all_persons,2017-02-01,2017-02-28,Q25a,with_children_and_adults,0
Non-Chronically Homeless Veteran,10,all_persons,2017-02-01,2017-02-28,Q25a,unknown_household_type,0
Not a Veteran,402,all_persons,2017-02-01,2017-02-28,Q25a,without_children,298
Not a Veteran,402,all_persons,2017-02-01,2017-02-28,Q25a,with_children_and_adults,103
Not a Veteran,402,all_persons,2017-02-01,2017-02-28,Q25a,unknown_household_type,1
Client Doesn't Know/Client Refused,1,all_persons,2017-02-01,2017-02-28,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2017-02-01,2017-02-28,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2017-02-01,2017-02-28,Q25a,unknown_household_type,0
Data Not Collected,17,all_persons,2017-02-01,2017-02-28,Q25a,without_children,17
Data Not Collected,17,all_persons,2017-02-01,2017-02-28,Q25a,with_children_and_adults,0
Data Not Collected,17,all_persons,2017-02-01,2017-02-28,Q25a,unknown_household_type,0
