non_cash_benefits,population,start_date,end_date,question,status,count
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_start,134
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,19
Supplemental Nutrition Assistance Program (SNAP) (Previously known as Food Stamps),all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_exit_for_leavers,36
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_start,16
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
"Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_exit_for_leavers,8
TANF Child Care Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_start,2
TANF Child Care Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Child Care Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_exit_for_leavers,0
TANF Transportation Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_start,2
TANF Transportation Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
TANF Transportation Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_exit_for_leavers,1
Other TANF-Funded Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_start,2
Other TANF-Funded Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,0
Other TANF-Funded Services,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_exit_for_leavers,0
Other Source,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_start,8
Other Source,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_latest_annual_assessment_for_stayers,12
Other Source,all_persons,2017-02-01,2017-02-28,Q20a,benefit_at_exit_for_leavers,1
