income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,3,10,13,0.23,1,20,21,0.05,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Supplemental Security Income (SSI),10,3,13,0.77,2,2,4,0.5,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Social Security Disability Insurance (SSDI),4,1,5,0.8,1,0,1,1.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
VA Service-Connected Disability Compensation,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Private Disability Insurance,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0.0,0,3,3,0.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Retirement Income from Social Security,0,2,2,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Pension or retirement income from a former job,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Child Support,1,0,1,1.0,0,5,5,0.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Other source,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
No Sources,11,16,27,0.41,1,13,14,0.07,0,0,0,0.0,adults,2017-02-01,2017-02-28,Q19b
Unduplicated Total Adults,28,32,60,NA,4,34,38,NA,0,0,0,NA,adults,2017-02-01,2017-02-28,Q19b
