"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",103,1,38
"""Adults with Only Other Income""",90,15,30
"""Adults with Both Earned and Other Income""",13,1,5
"""Adults with No Income""",168,2,45
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",6,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,162,0
"""Number of Adult Stayers without Required Annual Assessment""",0,82,0
"""Total Adults""",381,263,118
"""1 or More Source of Income""",228,17,79
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,19,0
