"""Total Number of Persons Served""",535
"""Number of Adults (age 18 or over)""",381
"""Number of Children (under age 18)""",153
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",169
"""Number of Adult Leavers""",118
"""Number of Adult and Head of Household Leavers""",118
"""Number of Stayers""",366
"""Number of Adult Stayers""",263
"""Number of Veterans""",10
"""Number of Chronically Homeless Persons""",17
"""Number of Youth Under Age 25""",31
"""Number of Parenting Youth Under Age 25 with Children""",12
"""Number of Adult Heads of Household""",303
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",101
