, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",71,52,19,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Place not meant for human habitation""",46,36,10,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",117,88,29,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",2,2,0,0,0
"""Substance abuse treatment facility or detox center""",1,1,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",7,5,2,0,0
"""Jail, prison or juvenile detention facility""",10,10,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",20,18,2,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",3,2,1,0,0
"""Owned by client, no ongoing housing subsidy""",14,6,8,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",149,104,45,0,0
"""Rental by client, with VASH housing subsidy""",1,1,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",2,2,0,0,0
"""Hotel or motel paid for without emergency shelter voucher""",7,3,4,0,0
"""Staying or living in a friend''s room, apartment or house""",25,18,7,0,0
"""Staying or living in a family member''s room, apartment or house""",38,27,11,0,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",6,5,0,0,1
"""Subtotal""",245,168,76,0,1
"""Total""",382,274,107,0,1
