income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,17,42,59,0.29,1,10,11,0.09,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Supplemental Security Income (SSI),17,5,22,0.77,2,1,3,0.67,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Social Security Disability Insurance (SSDI),26,0,26,1.0,2,0,2,1.0,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
VA Service-Connected Disability Compensation,3,0,3,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Temporary Assistance for Needy Families (TANF),0,2,2,0.0,0,1,1,0.0,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Retirement Income from Social Security,2,1,3,0.67,0,0,0,0.0,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Child Support,0,1,1,0.0,1,1,2,0.5,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Other source,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
No Sources,14,35,49,0.29,2,5,7,0.29,0,0,0,0.0,adults,2019-03-01,2019-03-31,Q19b
Unduplicated Total Adults,68,83,151,NA,6,16,22,NA,0,0,0,NA,adults,2019-03-01,2019-03-31,Q19b
