time_from_start_to_housing,total,population,start_date,end_date,question,household_type,count
7 days or less,1,all_persons,2019-03-01,2019-03-31,Q22c,without_children,1
7 days or less,1,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,0
7 days or less,1,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
7 days or less,1,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
8 to 14 days,2,all_persons,2019-03-01,2019-03-31,Q22c,without_children,2
8 to 14 days,2,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,0
8 to 14 days,2,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
8 to 14 days,2,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
15 to 21 days,5,all_persons,2019-03-01,2019-03-31,Q22c,without_children,2
15 to 21 days,5,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,3
15 to 21 days,5,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
15 to 21 days,5,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
22 to 30 days,3,all_persons,2019-03-01,2019-03-31,Q22c,without_children,3
22 to 30 days,3,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,0
22 to 30 days,3,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
22 to 30 days,3,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
31 to 60 days,3,all_persons,2019-03-01,2019-03-31,Q22c,without_children,0
31 to 60 days,3,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,3
31 to 60 days,3,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
31 to 60 days,3,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
61 to 180 days,4,all_persons,2019-03-01,2019-03-31,Q22c,without_children,0
61 to 180 days,4,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,4
61 to 180 days,4,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
61 to 180 days,4,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
181 to 365 days,0,all_persons,2019-03-01,2019-03-31,Q22c,without_children,0
181 to 365 days,0,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,0
181 to 365 days,0,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
181 to 365 days,0,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
366 to 730 days (1-2 Yrs),0,all_persons,2019-03-01,2019-03-31,Q22c,without_children,0
366 to 730 days (1-2 Yrs),0,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,0
366 to 730 days (1-2 Yrs),0,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
366 to 730 days (1-2 Yrs),0,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
Total (persons moved into housing),18,all_persons,2019-03-01,2019-03-31,Q22c,without_children,8
Total (persons moved into housing),18,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,10
Total (persons moved into housing),18,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
Total (persons moved into housing),18,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
Average length of time to housing,32,all_persons,2019-03-01,2019-03-31,Q22c,without_children,17
Average length of time to housing,32,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,45
Average length of time to housing,32,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
Average length of time to housing,32,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
Persons who were exited without move-in,9,all_persons,2019-03-01,2019-03-31,Q22c,without_children,5
Persons who were exited without move-in,9,all_persons,2019-03-01,2019-03-31,Q22c,with_children_and_adults,4
Persons who were exited without move-in,9,all_persons,2019-03-01,2019-03-31,Q22c,with_only_children,0
Persons who were exited without move-in,9,all_persons,2019-03-01,2019-03-31,Q22c,unknown_household_type,0
